AGE_GROUP_ORDERED,GROUPING,5%,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%
37 weeks PMA-30 Days,Measured MAP,39,42,47,50,53,55,58,62,66,72,77
37 weeks PMA-30 Days,Calculated MAP,40,44,48,51,54,56,59,62,66,72,77
1-3 Months,Measured MAP,44,47,52,55,58,61,64,68,72,78,83
1-3 Months,Calculated MAP,46,50,54,58,60,63,66,69,73,79,84
3-6 Months,Measured MAP,47,51,55,58,62,64,68,71,76,82,88
3-6 Months,Calculated MAP,51,54,59,62,64,67,70,73,78,83,88
6-12 Months,Measured MAP,49,53,57,60,63,67,70,74,78,85,90
6-12 Months,Calculated MAP,54,57,61,64,67,70,73,77,81,87,92
12-18 Months,Measured MAP,51,55,60,63,67,70,74,78,82,88,93
12-18 Months,Calculated MAP,56,59,64,67,70,74,77,81,85,91,96
18-24 Months,Measured MAP,52,55,60,64,68,71,75,78,83,90,95
18-24 Months,Calculated MAP,57,60,65,68,72,75,78,82,86,92,97
2-3 Years,Measured MAP,52,55,60,63,66,69,72,76,80,87,92
2-3 Years,Calculated MAP,57,60,64,68,70,73,76,80,84,90,95
3-4 Years,Measured MAP,52,55,60,63,65,68,71,74,78,84,90
3-4 Years,Calculated MAP,57,60,64,67,70,72,75,78,82,87,93
4-5 Years,Measured MAP,52,55,59,62,65,67,70,74,77,82,88
4-5 Years,Calculated MAP,57,60,64,66,69,72,74,77,81,86,91
5-6 Years,Measured MAP,53,56,60,63,65,68,71,74,77,83,88
5-6 Years,Calculated MAP,57,60,64,67,70,72,75,78,81,86,91
6-7 Years,Measured MAP,53,56,60,63,66,69,71,74,78,83,87
6-7 Years,Calculated MAP,58,61,65,68,70,72,75,78,82,86,90
7-8 Years,Measured MAP,54,57,61,64,66,69,72,75,78,84,89
7-8 Years,Calculated MAP,58,61,65,68,71,73,76,79,82,87,92
8-9 Years,Measured MAP,54,57,61,64,67,69,72,75,78,84,88
8-9 Years,Calculated MAP,59,62,66,68,71,73,76,79,82,87,92
9-10 Years,Measured MAP,55,58,62,65,68,70,73,76,79,85,90
9-10 Years,Calculated MAP,60,63,66,69,72,74,77,80,83,88,93
10-11 Years,Measured MAP,55,58,62,65,68,71,73,76,80,85,89
10-11 Years,Calculated MAP,60,63,67,70,72,75,77,80,83,88,92
11-12 Years,Measured MAP,55,58,62,65,68,70,73,76,80,85,91
11-12 Years,Calculated MAP,60,63,67,70,72,75,77,80,84,89,93
12-13 Years,Measured MAP,55,58,62,66,68,71,74,77,80,86,90
12-13 Years,Calculated MAP,60,63,67,70,73,75,78,81,84,90,94
13-14 Years,Measured MAP,56,59,63,66,69,71,74,77,81,86,91
13-14 Years,Calculated MAP,61,64,68,71,73,76,79,81,85,90,95
14-15 Years,Measured MAP,56,59,64,66,69,72,74,77,81,87,91
14-15 Years,Calculated MAP,61,64,68,71,74,76,79,82,85,90,95
15-16 Years,Measured MAP,56,60,64,67,70,72,75,78,82,87,92
15-16 Years,Calculated MAP,61,64,68,71,74,77,80,83,86,91,95
16-17 Years,Measured MAP,57,60,64,68,70,73,76,78,82,87,92
16-17 Years,Calculated MAP,62,65,69,72,75,78,80,83,86,92,96
17-18 Years,Measured MAP,57,61,65,68,71,74,76,79,83,88,94
17-18 Years,Calculated MAP,62,66,70,73,76,78,81,84,88,93,97
